ID,treatment,temp,block,date.hatch,date.died,timepoint.died,sacrifice,suc.ovp,date.3,bin,date.ovp,time.ovp,num.ovp,wasp.gen,date.4,timepoint.4,date.5,timepoint.5,date.wander,timepoint.wander,mass.wander,date.em,timepoint.em,instar.em,bled.em,num.em,num.coc,num.fail.spin,num.unem,load,time.T0,mass.T0,diet.cat.in.T0,diet.cont.in.T0,date.T1,time.T1,mass.T1,frass.T1,fed.T1,diet.cat.out.T0,diet.cont.out.T0,sacrifice.T1,diet.cat.in.T1,diet.cont.inT1,date.T2,time.T2,mass.T2,fed.T2,frass.T2,diet.cat.out.T1,diet.cont.out.T1,sacrifice.T2,diet.cat.in.T2,diet.cont.in.T2,date.T3,time.T3,mass.T3,frass.T3,fed.T3,diet.cat.out.T2,diet.cont.out.T2,sacrifice.T3,diet.cat.in.T3,diet.cont.in.T3,date.T4,time.T4,mass.T4,frass.T4,fed.T4,diet.cat.out.T3,diet.cont.out.T3,sacrifice.T4,diet.cat.in.T4,diet.cont.in.T4,date.T5,time.T5,mass.T5,frass.T5,fed.T5,diet.cat.out.T4,diet.cont.out.T4,sacrifice.T5,diet.cat.in.T5,diet.cont.in.T5,date.T6,time.T6,mass.T6,frass.T6,fed.T6,diet.cat.out.T5,diet.cont.out.T5,sacrifice.T6,diet.cat.in.T6,diet.cont.in.T6,date.T7,time.T7,mass.T7,frass.T7,fed.T7,diet.cat.out.T6,diet.cont.out.T6,sacrifice.T7,diet.cat.in.T7,diet.cont.in.T7,date.T8,time.T8,mass.T8,frass.T8,fed.T8,diet.cat.out.T7,diet.cont.out.T7,sacrifice.T8,diet.cat.in.T8,diet.cont.in.T8,date.T9,time.T9,mass.T9,frass.T9,fed.T9,diet.cat.out.T8,diet.cont.out.T8,sacrifice.T9,diet.cat.in.T9,diet.cont.in.T9,date.T10,time.T10,mass.T10,frass.T10,fed.T10,diet.cat.out.T9,diet.cont.out.T9,sacrifice.T10,diet.cat.in.T10,diet.cont.in.T10,date.T11,time.T11,mass.T11,frass.T11,fed.T11,diet.cat.out.T10,diet.cont.out.T10,sacrifice.T11,diet.cat.in.T11,diet.cont.in.T11,date.T12,time.T12,mass.T12,frass.T12,fed.T12,diet.cat.out.T11,diet.cont.out.T11,sacrifice.T12,diet.cat.in.T12,diet.cont.in.T12,date.T13,time.T13,mass.T13,frass.T13,fed.T13,diet.cat.out.T12,diet.cont.out.T12,sacrifice.T13,diet.cat.in.T13,diet.cont.in.T13,date.T14,time.T14,mass.T14,frass.T14,fed.T14,diet.cat.out.T13,diet.cont.out.T13,sacrifice.T14,diet.cat.in.T14,diet.cont.in.T14,date.T15,time.T15,mass.T15,frass.T15,fed.T15,diet.cat.out.T14,diet.cont.out.T14,sacrifice.T15,diet.cat.in.T15,diet.cont.in.T15,date.T16,time.T16,mass.T16,frass.T16,fed.T16,diet.cat.out.T15,diet.cont.out.T15,sacrifice.T16,diet.cat.in.T16,diet.cont.in.T16,date.T17,time.T17,mass.T17,frass.T17,fed.T17,diet.cat.out.T16,diet.cont.out.T16,sacrifice.T17,diet.cat.in.T17,diet.cont.in.T17,date.T18,time.T18,mass.T18,frass.T18,fed.T18,diet.cat.out.T17,diet.cont.out.T17,sacrifice.T18,diet.cat.in.T18,diet.cont.in.T18,date.T19,time.T19,mass.T19,frass.T19,fed.T19,diet.cat.out.T18,diet.cont.out.T18,sacrifice.T19,diet.cat.in.T19,diet.cont.in.T19,date.T20,time.T20,mass.T20,frass.T20,fed.T20,diet.cat.out.T19,diet.cont.out.T19,sacrifice.T20,diet.cat.in.T20,diet.cont.in.T20,date.T21,time.T21,mass.T21,frass.T21,fed.T21,diet.cat.out.T20,diet.cont.out.T20,sacrifice.T21,diet.cat.in.T21,diet.cont.in.T21,date.T22,time.T22,mass.T22,frass.T22,fed.T22,diet.cat.out.T21,diet.cont.out.T21,sacrifice.T22,diet.cat.in.T22,diet.cont.in.T22,date.T23,time.T23,mass.T23,frass.T23,fed.T23,diet.cat.out.T22,diet.cont.out.T22,sacrifice.T23,diet.cat.in.T23,diet.cont.in.T23,date.T24,time.T24,mass.T24,frass.T24,fed.T24,diet.cat.out.T23,diet.cont.out.T23,sacrifice.T24,diet.cat.in.T24,diet.cont.in.T24,date.T25,time.T25,mass.T25,frass.T25,fed.T25,diet.cat.out.T24,diet.cont.out.T24,sacrifice.T25,diet.cat.in.T25,diet.cont.in.T25,date.T26,time.T26,mass.T26,frass.T26,fed. T26,diet.cat.out.T25,diet.cont.out.T25,sacrifice.T26,diet.cat.in.T26,diet.cont.in.T26,date.T27,time.T27,mass.T27,frass.T27,fed.T27,diet.cat.out.T26,diet.cont.out.T26,sacrifice.T27,diet.cat.in.T27,diet.cont.in.T27,date.T28,time.T28,mass.T28,frass.T28,fed.T28,diet.cat.out.T27,diet.cont.out.T27,sacrifice.T28,diet.cat.in.T28,diet.cont.inT28,date.T29,time.T29,mass.T29,frass.T29,fed.T29,diet.cat.out.T28,diet cont.out.T28,sacrifice.T29,diet.cat.in.T29,diet.cont.in.T29,date.T30,time.T30,mass.T30,frass.T30,fed.T30,diet.cat.out.T29,diet.cont.out.T29,sacrifice.T30,diet.cat.in.T30,diet.cont.in.T30,date.T31,time.T31,mass.T31,frass.T31,fed.T31,diet.cat.out.T30,diet.cont.out.T30,sacrifice.T31,diet.cat.in.T31,diet.cont.in.T31,date.T32,time.T32,mass.T32,frass.T32,fed.T32,diet.cat.out.T31,diet.cont.out.T31,sacrifice.T32,diet.cat.in.T32,diet.cont.in.T32,date.T33,time.T33,mass.T33,frass.T33,fed.T33,diet.cat.out.T32,diet.cont.out.T32,sacrifice.T33,diet.cat.in.T33,diet.cont.in.T33,date.T34,time.T34,mass.T34,frass.T34,fed.T34,diet.cat.out.T34,diet.cont.out.T34,sacrifice.T34,diet.cat.in.T34,diet.cont.in.T34,date.T35,time.T35,mass.T35,frass.T35,fed.T35,diet.cat.out.T34,diet.cont.out.T34,sacfifice.T35,diet.cat.in.T35,diet.cont.in.T35,date.T36,time.T36,mass.T36,frass.T36,fed.T36,diet.cat.out.T35,diet.cont.out.T35,sacrifice.T36,diet.cat.in.T36,diet.cont.in.T36,date.T37,time.T37,mass.T37,frass.T37,fed.T37,diet.cat.out.T36,diet.cont.out.T36,sacrifice.T37,diet.cat.in.T37,diet.cont.in.T37,date.T38,time.T38,diet.cont.out.T37,comments
266,para,30,P,11/28/16,,,0,1,12/1/16,21,12/1/16,10:16,1,2,12/5/16,T8,12/9/16,T14,,,,12/13/16,T18,5,0,75,69,6,69,144,9:37,38.92,172.22,169.11,12/1/2016,4:42,49.3,2.16,1,94.02,119.94,0,243.08,270.05,12/2/16,10:06,75.75,1,6.35,77.79,127.06,0,196,205.75,12/2/16,4:55,82.74,2.01,1,115.23,142.66,0,400.11,386.39,12/3/16,10:44,133.22,12.04,1,172.16,238.97,0,434.18,494.11,12/3/2016,6:35,175.58,8.27,1,281.92,407.61,0,337.29,568.57,12/4/16,11:34,231.17,22.51,1,100.56,406.01,0,386.37,354.84,12/4/16,6:00,228.96,4.57,1,306.04,273.71,0,489.21,489.55,12/5/16,10:48,214.44,0,0,360.06,341.22,0,799.43,1405.27,12/5/16,9:40,260.28,6.23,1,626.93,1288.03,0,1793.97,1514.57,12/6/16,10:01,457.76,46.99,1,1362.15,1343.41,0,952.82,1809.68,12/6/16,6:56,583.39,30.48,1,658.29,1681.52,0,2392.42,3346.65,12/7/16,9:57,878.14,55.32,1,1814.72,3151.02,0,4364.64,5625.76,12/8/16,10:17,959.19,36.61,1,3768.58,5239.14,0,6555.04,9066.31,12/9/16,11:44,1403.68,145.36,1,5264.44,8110.25,0,7657.9,7826.16,12/10/16,11:48,2359.85,224.88,1,5983.07,7434.55,0,8034.67,8894.17,12/11/16,11:14,3516.95,236.78,1,5845.68,8083.43,0,8325.03,7937.75,12/12/16,10:59,3548.51,301.89,1,6752.59,6859.74,0,9992.05,6318.51,12/13/16,11:30,,,,,5098.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,para,30,P,11/28/16,12/9/16,T14,0,,12/1/16,21,12/1/16,10:17,1,2,12/6/16,T11,,,,,,,,,,0,,,,0,9:39,33.88,123.95,169.11,12/1/2016,4:40,35.58,0.49,1,63.92,119.94,0,202.9,270.05,12/2/16,10:08,41.19,1,2.18,75.97,127.06,0,182.87,205.75,12/2/16,4:54,44.43,0.44,1,111.4,142.66,0,384.77,386.39,12/3/16,10:47,44.54,1.33,1,231.61,238.97,0,315.96,494.11,12/3/2016,6:32,50.92,2.41,1,216.26,407.61,0,230.64,568.57,12/4/16,11:37,63.85,4.45,1,73.64,406.01,0,426.85,354.84,12/4/16,5:41,61.51,0.35,1,350.91,273.71,0,506.2,489.55,12/5/16,10:33,79.98,8.52,1,322.07,341.22,0,323.11,1405.27,12/5/16,9:53,75.38,0,0,219.15,1288.03,0,957.93,1514.57,12/6/16,10:10,73.57,0.41,1,816.67,1343.41,0,1057.21,1809.68,12/6/16,7:11,64.55,0,0,937.9,1681.52,0,944.41,3346.65,12/7/16,10:10,72.23,0,0,764.32,3151.02,0,1314.58,5625.76,12/8/16,10:45,69.48,0,0,1015.76,5239.14,0,1494.34,9066.31,12/9/16,,,,,,8110.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,para,30,P,11/28/16,,,0,1,12/1/16,21,12/1/16,10:19,2,2,12/4/16,T6,12/8/16,T13,,,,12/13/16,T18,5,0,46,37,9,122,168,9:42,60.47,179.18,169.11,12/1/2016,4:37,65.59,2.95,1,103.3,119.94,0,271.16,270.05,12/2/16,10:14,104.97,1,11.13,84.41,127.06,0,240.16,205.75,12/2/16,4:54,123.9,4.91,1,143.45,142.66,0,408.31,386.39,12/3/16,11:16,185.46,18.33,1,153.58,238.97,0,495.25,494.11,12/3/2016,7:01,178.21,1.83,1,413.68,407.61,0,376.44,568.57,12/4/16,11:29,153.81,0,0,248.96,406.01,0,805.58,354.84,12/4/16,5:44,160.71,1.65,1,701.46,273.71,0,770.74,489.55,12/5/16,10:45,330.22,54.58,1,371.68,341.22,0,885.77,1405.27,12/5/16,9:41,528.34,44.99,1,504.59,1288.03,0,2093.34,1514.57,12/6/16,9:59,812.68,67.3,1,1541.15,1343.41,0,1122.85,1809.68,12/6/16,6:59,860.5,35.3,1,906.51,1681.52,0,2225.31,3346.65,12/7/16,9:53,847.72,2.86,1,2048.83,3151.02,0,4016.2,5625.76,12/8/16,10:30,800.46,0,0,3704.02,5239.14,0,5733.11,9066.31,12/9/16,12:11,1993.97,262.71,1,3704.25,8110.25,0,6460.13,7826.16,12/10/16,11:28,3014.16,489.98,1,4490.29,7434.55,0,8120.45,8894.17,12/11/16,11:08,3435.29,817.79,1,5718.36,8083.43,0,8983.94,7937.75,12/12/16,10:53,3526.03,239.19,1,7640.04,6859.74,0,8954.98,6318.51,12/13/16,11:30,,,,,5098.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"damaged horn after molt into 4th (T6), bled "
269,control,30,P,11/28/16,,,0,,12/1/16,21,,,,2,12/3/16,T4,12/6/16,T11,12/10/16,T15,8445.99,,,,,0,,,,0,9:44,44.76,113.83,169.11,12/1/2016,4:12,56.23,3.96,1,48.61,119.94,0,258.87,270.05,12/2/16,9:58,115.47,1,18.49,33.5,127.06,0,323.01,205.75,12/2/16,5:01,156.65,12.62,1,179.87,142.66,0,365.59,386.39,12/3/16,11:12,151.25,4.73,1,199.48,238.97,0,356.35,494.11,12/3/2016,6:26,217.09,12.61,1,192.1,407.61,0,520.67,568.57,12/4/16,11:07,393.21,29.41,1,0,406.01,0,999.74,354.84,12/4/16,5:50,576.06,63.36,1,626.93,273.71,0,812.95,489.55,12/5/16,11:11,1056.23,89.71,1,0,341.22,0,1479.11,1405.27,12/5/16,9:17,1149.72,95.86,1,1145.75,1288.03,0,1948.95,1514.57,12/6/16,10:27,1138.01,0,0,1775.54,1343.41,0,2086.52,1809.68,12/6/16,6:46,1412.43,34.62,1,1606.26,1681.52,0,4190.75,3346.65,12/7/16,9:57,2856.61,474.23,1,1915.43,3151.02,0,5362.61,5625.76,12/8/16,10:09,5487.48,1982.84,1,112.58,5239.14,0,9906.93,9066.31,12/9/16,11:54,9390.52,3988.72,1,948.19,8110.25,0,10571.42,7826.16,12/10/16,11:59,8445.99,,,,7434.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,control,30,P,11/28/16,,,0,,12/1/16,21,,,,2,12/3/16,T4,12/6/16,T11,12/10/16,T15,8551.98,,,,,0,,,,0,9:46,64.48,184.71,169.11,12/1/2016,4:15,82.08,7.43,1,101.89,119.94,0,280.48,270.05,12/2/16,10:21,174.24,1,28.23,8.95,127.06,0,216.7,205.75,12/2/16,4:45,180.95,5.32,1,133.01,142.66,0,265.65,386.39,12/3/16,11:03,225.35,15.65,1,47.36,238.97,0,539.87,494.11,12/3/2016,6:47,404.64,36.55,1,219.96,407.61,0,340.94,568.57,12/4/16,11:24,673.34,61.88,1,0,406.01,0,971.38,354.84,12/4/16,5:37,974.23,91.25,1,467.63,273.71,0,456.14,489.55,12/5/16,11:04,1201.62,59.25,1,0,341.22,0,2002.09,1405.27,12/5/16,9:25,1199.23,28.56,1,1842.26,1288.03,0,3369.24,1514.57,12/6/16,10:24,1189.35,0,1,3176.61,1343.41,0,3511.55,1809.68,12/6/16,6:54,1514.37,56.08,1,2937.85,1681.52,0,4550.37,3346.65,12/7/16,9:55,2646.87,376.5,1,2771.83,3151.02,0,5518.04,5625.76,12/8/16,10:27,5560.42,1829.74,1,136.88,5239.14,0,9441.23,9066.31,12/9/16,12:08,9616.43,4180.1,1,61.22,8110.25,0,11605.84,7826.16,12/10/16,12:06,8551.98,,,,7434.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,control,30,P,11/28/16,12/5/16,T8,0,,12/1/16,21,,,,2,,,,,,,,,,,,0,,,,0,9:47,37.11,144.88,169.11,12/1/2016,4:26,37.7,0.31,1,84.06,119.94,0,191.03,270.05,12/2/16,10:30,36.69,0,0,65.52,127.06,0,235.48,205.75,12/2/16,4:45,35.34,0,0,168.56,142.66,0,378.97,386.39,12/3/16,11:09,37.11,0.47,1,208.2,238.97,0,254.87,494.11,12/3/2016,6:40,36.68,0,0,171.81,407.61,0,319.19,568.57,12/4/16,11:16,35.53,0.33,1,170.83,406.01,0,179.33,354.84,12/4/16,5:57,34.62,0,0,109.95,273.71,0,241.1,489.55,12/5/16,,,,,,341.22,,,1405.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,control,30,P,11/28/16,,,0,,12/1/16,21,,,,2,12/3/16,T4,12/6/16,T11,12/10/16,T15,8516.29,,,,,0,,,,0,9:49,43.29,150.55,169.11,12/1/2016,4:29,56.04,3.71,1,73.24,119.94,0,193.59,270.05,12/2/16,10:27,111.03,1,21.83,0,127.06,0,235.06,205.75,12/2/16,4:46,161.14,15.73,1,97.17,142.66,0,342.21,386.39,12/3/16,11:06,152.3,6.93,1,179.64,238.97,0,317.16,494.11,12/3/2016,6:57,221.53,14.46,1,136.93,407.61,0,512.65,568.57,12/4/16,11:13,501.12,55.92,1,0,406.01,0,895.92,354.84,12/4/16,5:46,633.55,37.08,1,617.24,273.71,0,696.42,489.55,12/5/16,10:57,997.79,119.48,1,0,341.22,0,1678.94,1405.27,12/5/16,9:32,1021.85,58.44,1,1444.25,1288.03,0,3291.51,1514.57,12/6/16,10:19,1011.84,0,0,3116.71,1343.41,0,3402.13,1809.68,12/6/16,6:43,985.76,0,0,3268.42,1681.52,0,4604.59,3346.65,12/7/16,10:09,2021.3,228.09,1,3053.79,3151.02,0,7883.39,5625.76,12/8/16,10:39,4975.17,1824.02,1,2329.49,5239.14,0,10014.85,9066.31,12/9/16,12:02,8773.11,3538.18,1,1273.32,8110.25,0,10886.16,7826.16,12/10/16,11:56,8516.29,,,,7434.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,control,30,P,11/28/16,,,0,,12/1/16,21,,,,2,12/5/16,T8,12/9/16,T14,12/15/16,T19,7310.98,,,,,0,,,,0,9:50,33.44,134.26,169.11,12/1/2016,4:32,39.69,1.32,1,66.72,119.94,0,257.66,270.05,12/2/16,10:25,79.89,1,11.24,65.5,127.06,0,282.1,205.75,12/2/16,4:49,75.39,1.69,1,212.44,142.66,0,456.8,386.39,12/3/16,11:04,73.73,0,0,288.52,238.97,0,274.62,494.11,12/3/2016,6:59,111.23,5.8,1,138.76,407.61,0,404.43,568.57,12/4/16,11:32,206.89,38.48,1,109.07,406.01,0,348.58,354.84,12/4/16,6:03,197.08,8.73,1,265.8,273.71,0,505.93,489.55,12/5/16,10:43,200.96,0,0,339.52,341.22,0,787.01,1405.27,12/5/16,9:44,193.97,2.06,1,648.83,1288.03,0,1681.23,1514.57,12/6/16,9:56,383.42,37.43,1,1283.76,1343.41,0,1056.53,1809.68,12/6/16,7:01,371.7,1.9,1,929.21,1681.52,0,1457.95,3346.65,12/7/16,9:54,751.77,84.04,1,781.22,3151.02,0,3705.34,5625.76,12/8/16,10:20,866.64,25.12,1,3157.91,5239.14,0,6012.25,9066.31,12/9/16,11:40,834.35,31.95,1,5554.68,8110.25,0,6691.73,7826.16,12/10/16,11:34,1152.72,23.21,1,5949.14,7434.55,0,8287.61,8894.17,12/11/16,11:06,2294.62,267.37,1,6176.56,8083.43,0,7071.33,7937.75,12/12/16,10:35,3946.39,682.64,1,3060.44,6859.74,0,9335.12,6318.51,12/13/16,11:15,6198.36,1212.12,1,4411.86,5098.17,0,12581.4,7040.76,12/14/16,10:21,8130.16,1680.21,1,7510.69,6148.73,0,9109.11,7387.93,12/15/16,10:16,7310.98,,,,6438.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,control,30,P,11/28/16,,,0,,12/1/16,21,,,,2,12/4/16,T6,12/8/16,T13,12/13/16,T18,7556.84,,,,,0,,,,0,9:53,33.27,200.24,169.11,12/1/2016,4:34,44.91,2.77,1,118.35,119.94,0,261.71,270.05,12/2/16,10:17,89.93,1,13.61,56.76,127.06,0,245.75,205.75,12/2/16,4:52,85.29,0.96,1,176.5,142.66,0,374.16,386.39,12/3/16,11:12,158.73,24.82,1,104.8,238.97,0,353.88,494.11,12/3/2016,7:07,154.55,0.73,1,264.31,407.61,0,536.35,568.57,12/4/16,11:23,215.9,12.85,1,300.37,406.01,0,737.22,354.84,12/4/16,5:48,285.9,24.12,1,538.87,273.71,0,839.11,489.55,12/5/16,10:37,661.95,89.48,1,171.49,341.22,0,899.03,1405.27,12/5/16,9:50,923.94,125.21,1,336.57,1288.03,0,3327.22,1514.57,12/6/16,10:03,1051.61,37.3,1,2944.21,1343.41,0,1758.44,1809.68,12/6/16,7:15,1146.69,66.59,1,1428.52,1681.52,0,2767.43,3346.65,12/7/16,9:59,1129.92,0,0,2362.87,3151.02,0,4714.75,5625.76,12/8/16,10:49,1071.89,0,0,4364.59,5239.14,0,7786.18,9066.31,12/9/16,12:16,2294.18,198.67,1,5376.27,8110.25,0,7040.69,7826.16,12/10/16,11:41,3646.19,323.83,1,4776.94,7434.55,0,9386.64,8894.17,12/11/16,11:21,6699.93,2737.64,1,2438.74,8083.43,0,10336.31,7937.75,12/12/16,10:57,8808.73,2469.46,1,4339.51,6859.74,0,10285.17,6318.51,12/13/16,10:51,7556.84,,,,5098.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,control,30,P,11/28/16,,,0,,12/1/16,21,,,,2,12/3/16,T4,12/8/16,T13,12/12/16,T17,8044.64,,,,,0,,,,0,9:55,39.08,158.76,169.11,12/1/2016,4:05,57.23,4.32,1,85.66,119.94,0,343.26,270.05,12/2/16,10:06,135.29,1,28.79,72.13,127.06,0,178.92,205.75,12/2/16,5:06,177.49,13.85,1,52.57,142.66,0,803.68,386.39,12/3/16,10:24,156.12,2.72,1,627.61,238.97,0,611.19,494.11,12/3/2016,6:21,244.82,12.19,1,394.06,407.61,0,436.64,568.57,12/4/16,11:18,410.25,35.14,1,60.77,406.01,0,1095.36,354.84,12/4/16,5:55,595.54,66.73,1,731.34,273.71,0,737.07,489.55,12/5/16,11:07,625.2,16.42,1,507.88,341.22,0,1869.25,1405.27,12/5/16,9:21,848.82,65.68,1,1427.13,1288.03,0,2834.57,1514.57,12/6/16,10:24,853.7,10.89,1,2618.85,1343.41,0,2610.33,1809.68,12/6/16,6:50,839.47,6.02,1,2473.3,1681.52,0,3601.84,3346.65,12/7/16,9:49,831.95,0,0,3368.12,3151.02,0,1983.75,5625.76,12/8/16,10:03,1182.89,60.94,1,1206.63,5239.14,0,4980.25,9066.31,12/9/16,11:59,3304.77,586.6,1,1669.51,8110.25,0,8440.95,7826.16,12/10/16,11:31,5987.95,3532.04,1,1612.41,7434.55,0,10625.22,8894.17,12/11/16,11:24,8350.62,3020.53,1,3945.63,8083.43,0,10802.53,7937.75,12/12/16,11:02,8044.64,,,,6859.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,control,30,P,11/28/16,,,0,,12/1/16,21,,,,2,12/3/16,T4,12/6/16,T11,12/10/16,T15,9081.3,,,,,0,,,,0,9:57,41.92,192.96,169.11,12/1/2016,4:08,60.71,4.81,1,110.81,119.94,0,232.72,270.05,12/2/16,10:03,113.09,1,18.32,19.97,127.06,0,210.46,205.75,12/2/16,5:09,107.79,1.45,1,145.36,142.66,0,571.37,386.39,12/3/16,10:18,106.01,3.05,1,395.12,238.97,0,456.37,494.11,12/3/2016,6:23,156.76,6.31,1,299.69,407.61,0,436.84,568.57,12/4/16,11:09,366.25,58.36,1,1.61,406.01,0,825.96,354.84,12/4/16,5:48,525.62,64.2,1,496.9,273.71,0,809.82,489.55,12/5/16,11:13,987.26,131.76,1,0,341.22,0,1561.41,1405.27,12/5/16,9:15,1033.58,51.58,1,1319.64,1288.03,0,985.97,1514.57,12/6/16,9:51,1025.14,0.92,1,827.8,1343.41,0,1483.41,1809.68,12/6/16,7:05,1327.44,64.86,1,947.81,1681.52,0,3469.97,3346.65,12/7/16,9:52,2739.65,473.24,1,1311.01,3151.02,0,9345.61,5625.76,12/8/16,10:22,6088.89,2999.57,1,2325.02,5239.14,0,1003.61,9066.31,12/9/16,11:37,9932.25,4558.53,1,662.16,8110.25,0,11598.58,7826.16,12/10/16,12:00,9081.3,,,,7434.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,control,30,P,11/28/16,,,1,,12/1/16,21,,,,2,12/3/16,T4,,,,,,,,,,0,,,,0,9:59,52,150.92,169.11,12/1/2016,4:10,65.82,3.97,1,80.19,119.94,0,268.51,270.05,12/2/16,10:01,150.56,1,20.85,16.48,127.06,0,209.64,205.75,12/2/16,4:59,198.37,12.58,1,67.13,142.66,0,457.38,386.39,12/3/16,11:15,194.17,3.55,1,278.46,238.97,0,363.44,494.11,12/3/2016,6:09,265.59,16.58,1,189.3,407.61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
